Epoch	        Learning Rate.	Train Loss.	Accu. w1	Accu. w2	Accu. T1	Accu. T2	Accu. U	
50.0000000000	0.0025000000	0.0040925788	0.0005382820	0.0007982718	0.0008607608	0.0020332026	0.0000010038	
51.0000000000	0.0025000000	0.0040694401	0.0005394034	0.0007800241	0.0008607919	0.0020212257	0.0000010307	
52.0000000000	0.0025000000	0.0040541781	0.0005404520	0.0007834213	0.0008704895	0.0020066669	0.0000009657	
53.0000000000	0.0025000000	0.0040398941	0.0005718962	0.0008000473	0.0008669591	0.0020143098	0.0000009597	
54.0000000000	0.0025000000	0.0040288610	0.0005213644	0.0007898150	0.0008430163	0.0019980616	0.0000009737	
55.0000000000	0.0025000000	0.0040170209	0.0005369695	0.0007828823	0.0008536038	0.0019894632	0.0000009588	
56.0000000000	0.0025000000	0.0040114798	0.0005213179	0.0007807975	0.0008204638	0.0019697361	0.0000010500	
57.0000000000	0.0025000000	0.0039871642	0.0005346871	0.0007672535	0.0008200288	0.0019691104	0.0000009414	
58.0000000000	0.0025000000	0.0039829046	0.0005329699	0.0007716262	0.0008211751	0.0019663283	0.0000009851	
59.0000000000	0.0025000000	0.0039680800	0.0005072607	0.0007635848	0.0007975122	0.0019559212	0.0000010050	
60.0000000000	0.0025000000	0.0039592862	0.0005167830	0.0007733459	0.0008048688	0.0019840800	0.0000009449	
61.0000000000	0.0025000000	0.0039618515	0.0005178243	0.0007705132	0.0007931173	0.0019725454	0.0000009304	
62.0000000000	0.0025000000	0.0039393029	0.0005359919	0.0007684604	0.0007900469	0.0019667476	0.0000009669	
63.0000000000	0.0025000000	0.0039268104	0.0005068100	0.0007717169	0.0007729358	0.0019139427	0.0000009212	
64.0000000000	0.0025000000	0.0039130296	0.0005085518	0.0007640309	0.0007791037	0.0019044126	0.0000009437	
65.0000000000	0.0025000000	0.0039128142	0.0004959796	0.0007707477	0.0007589766	0.0019574024	0.0000009542	
66.0000000000	0.0025000000	0.0038898169	0.0005385517	0.0007588037	0.0007727330	0.0019203701	0.0000009662	
67.0000000000	0.0025000000	0.0038813750	0.0004928060	0.0007526176	0.0007507410	0.0019163367	0.0000009114	
